,Province_State,Country_Region,Date,ConfirmedCases,Fatalities,Stay_at_home
0,Alabama,US,1/22/2020,0,0,0
1,Alabama,US,1/23/2020,0,0,0
2,Alabama,US,1/24/2020,0,0,0
3,Alabama,US,1/25/2020,0,0,0
4,Alabama,US,1/26/2020,0,0,0
5,Alabama,US,1/27/2020,0,0,0
6,Alabama,US,1/28/2020,0,0,0
7,Alabama,US,1/29/2020,0,0,0
8,Alabama,US,1/30/2020,0,0,0
9,Alabama,US,1/31/2020,0,0,0
10,Alabama,US,2/1/2020,0,0,0
11,Alabama,US,2/2/2020,0,0,0
12,Alabama,US,2/3/2020,0,0,0
13,Alabama,US,2/4/2020,0,0,0
14,Alabama,US,2/5/2020,0,0,0
15,Alabama,US,2/6/2020,0,0,0
16,Alabama,US,2/7/2020,0,0,0
17,Alabama,US,2/8/2020,0,0,0
18,Alabama,US,2/9/2020,0,0,0
19,Alabama,US,2/10/2020,0,0,0
20,Alabama,US,2/11/2020,0,0,0
21,Alabama,US,2/12/2020,0,0,0
22,Alabama,US,2/13/2020,0,0,0
23,Alabama,US,2/14/2020,0,0,0
24,Alabama,US,2/15/2020,0,0,0
25,Alabama,US,2/16/2020,0,0,0
26,Alabama,US,2/17/2020,0,0,0
27,Alabama,US,2/18/2020,0,0,0
28,Alabama,US,2/19/2020,0,0,0
29,Alabama,US,2/20/2020,0,0,0
30,Alabama,US,2/21/2020,0,0,0
31,Alabama,US,2/22/2020,0,0,0
32,Alabama,US,2/23/2020,0,0,0
33,Alabama,US,2/24/2020,0,0,0
34,Alabama,US,2/25/2020,0,0,0
35,Alabama,US,2/26/2020,0,0,0
36,Alabama,US,2/27/2020,0,0,0
37,Alabama,US,2/28/2020,0,0,0
38,Alabama,US,2/29/2020,0,0,0
39,Alabama,US,3/1/2020,0,0,0
40,Alabama,US,3/2/2020,0,0,0
41,Alabama,US,3/3/2020,0,0,0
42,Alabama,US,3/4/2020,0,0,0
43,Alabama,US,3/5/2020,0,0,0
44,Alabama,US,3/6/2020,0,0,0
45,Alabama,US,3/7/2020,0,0,0
46,Alabama,US,3/8/2020,0,0,0
47,Alabama,US,3/9/2020,0,0,0
48,Alabama,US,3/10/2020,0,0,0
49,Alabama,US,3/11/2020,0,0,0
50,Alabama,US,3/12/2020,0,0,0
51,Alabama,US,3/13/2020,5,0,0
52,Alabama,US,3/14/2020,7,0,0
53,Alabama,US,3/15/2020,11,0,0
54,Alabama,US,3/16/2020,29,0,0
55,Alabama,US,3/17/2020,39,0,0
56,Alabama,US,3/18/2020,51,0,0
57,Alabama,US,3/19/2020,78,0,0
58,Alabama,US,3/20/2020,106,0,0
59,Alabama,US,3/21/2020,131,0,0
60,Alabama,US,3/22/2020,157,0,0
61,Alabama,US,3/23/2020,196,0,0
62,Alabama,US,3/24/2020,242,0,0
63,Alabama,US,3/25/2020,381,1,0
64,Alabama,US,3/26/2020,517,1,0
65,Alabama,US,3/27/2020,587,4,0
66,Alabama,US,3/28/2020,694,4,0
67,Alabama,US,3/29/2020,825,10,0
68,Alabama,US,3/30/2020,899,10,0
69,Alabama,US,3/31/2020,987,23,0
70,Alabama,US,4/1/2020,1060,27,0
71,Alabama,US,4/2/2020,1233,32,0
72,Alabama,US,4/3/2020,1495,38,0
73,Alabama,US,4/4/2020,1614,44,1
74,Alabama,US,4/5/2020,1765,45,1
75,Alabama,US,4/6/2020,1952,49,1
76,Alabama,US,4/7/2020,2169,64,1
77,Alabama,US,4/8/2020,2328,66,1
78,Alabama,US,4/9/2020,2703,70,1
79,Alabama,US,4/10/2020,2947,80,1
80,Alabama,US,4/11/2020,3217,92,1
81,Alabama,US,4/12/2020,3563,93,1
82,Alabama,US,4/13/2020,3734,99,1
83,Alabama,US,4/14/2020,3953,114,1
84,Alabama,US,4/15/2020,4075,118,1
85,Alabama,US,4/16/2020,4345,133,1
86,Alabama,US,4/17/2020,4571,148,1
87,Alabama,US,4/18/2020,4712,153,1
88,Alabama,US,4/19/2020,4888,157,1
89,Alabama,US,4/20/2020,5079,163,1
90,Alabama,US,4/21/2020,5317,183,1
91,Alabama,US,4/22/2020,5593,196,1
92,Alabama,US,4/23/2020,5832,202,1
93,Alabama,US,4/24/2020,6026,209,1
94,Alabama,US,4/25/2020,6026,209,1
95,Alabama,US,4/26/2020,6421,219,1
112,Alaska,US,1/22/2020,0,0,0
113,Alaska,US,1/23/2020,0,0,0
114,Alaska,US,1/24/2020,0,0,0
115,Alaska,US,1/25/2020,0,0,0
116,Alaska,US,1/26/2020,0,0,0
117,Alaska,US,1/27/2020,0,0,0
118,Alaska,US,1/28/2020,0,0,0
119,Alaska,US,1/29/2020,0,0,0
120,Alaska,US,1/30/2020,0,0,0
121,Alaska,US,1/31/2020,0,0,0
122,Alaska,US,2/1/2020,0,0,0
123,Alaska,US,2/2/2020,0,0,0
124,Alaska,US,2/3/2020,0,0,0
125,Alaska,US,2/4/2020,0,0,0
126,Alaska,US,2/5/2020,0,0,0
127,Alaska,US,2/6/2020,0,0,0
128,Alaska,US,2/7/2020,0,0,0
129,Alaska,US,2/8/2020,0,0,0
130,Alaska,US,2/9/2020,0,0,0
131,Alaska,US,2/10/2020,0,0,0
132,Alaska,US,2/11/2020,0,0,0
